,Unnamed: 0,geoid,Population Density (Per Sq. Mile),Total Population: Less than 25 Years,Total Population: White Alone,Population 25 Years and Over: Bachelor's Degree or More,Population 16 Years and Over: in Labor Force: Civilian: Employed,Population 16 Years and Over: in Labor Force: Civilian: Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units: No Vehicle Available,Renter-Occupied Housing Units: 1 Vehicle Available,Renter-Occupied Housing Units: 2 Vehicles Available,Renter-Occupied Housing Units: 3 Vehicles Available,pct_disability
41,41,6097151504,5916.696,0.2549240292628025,0.91755768148565,0.4928247734138973,0.9776536312849162,0.0223463687150838,104063.0,0.10408921933085502,0.17472118959107807,0.587360594795539,0.06691449814126393,0.045890066
42,42,6097151601,142.8146,0.05243942914039164,0.9186856953202788,0.5271453590192644,0.916767189384801,0.08323281061519903,77306.0,0.09930715935334873,0.48036951501154734,0.3648960739030023,0.05542725173210162,0.124633431
43,43,6097151602,233.4717,0.05460636515912898,0.9554438860971525,0.5811481218993622,0.9129353233830846,0.08706467661691543,69537.0,0.04935064935064935,0.5454545454545454,0.38181818181818183,0.0,0.153324288
44,44,6097151700,3953.831,0.24969827008180234,0.7749765321174735,0.3848078641644325,0.9739297475301866,0.02607025246981339,76691.0,0.14635473340587596,0.36996735582154516,0.3248095756256801,0.1294885745375408,0.083541999
45,45,6097152100,3737.51,0.2225765306122449,0.7270408163265306,0.3355209187858901,0.9328767123287671,0.06712328767123288,69074.0,0.02386117136659436,0.2841648590021692,0.5639913232104121,0.08893709327548807,0.12522686
46,46,6097152201,8465.692,0.2672085344170688,0.651257302514605,0.2856152512998267,0.9708121827411168,0.02918781725888325,58333.0,0.06876061120543293,0.44142614601018676,0.400679117147708,0.05857385398981324,0.139026112
47,47,6097152202,6079.473,0.24976958525345622,0.7717357910906298,0.38390663390663393,0.9497578692493946,0.050242130750605324,67887.0,0.16971279373368145,0.20452567449956485,0.4116623150565709,0.12706701479547433,0.052852349
48,48,6097152203,6934.837,0.24413012729844413,0.803960396039604,0.44423652694610777,0.9775166070516096,0.022483392948390392,57679.0,0.16791979949874686,0.5221386800334169,0.2322472848788638,0.06015037593984962,0.079455663
49,49,6097152300,3078.455,0.23815309842041313,0.8877278250303766,0.5933014354066986,0.971278123504069,0.028721876495931067,108947.0,0.1162227602905569,0.4092009685230024,0.21307506053268765,0.26150121065375304,0.107732407
50,50,6097152400,1031.161,0.2093940480458946,0.845703358431935,0.6021164021164022,0.951276645584446,0.04872335441555399,130845.0,0.16267942583732056,0.6088516746411483,0.19497607655502391,0.03349282296650718,0.086144849
51,51,6097152501,5661.543,0.3329503676470588,0.7683823529411765,0.39131932483637616,0.987540192926045,0.012459807073954984,69933.0,0.041666666666666664,0.3442982456140351,0.31359649122807015,0.22478070175438597,0.076352068
52,52,6097152502,5335.202,0.26414595452141726,0.6525647805393971,0.31081566654689186,0.9407202216066483,0.0592797783933518,58125.0,0.06654676258992806,0.368705035971223,0.3489208633093525,0.11870503597122302,0.087694484
53,53,6097152904,6136.416,0.3137937351163217,0.6495695182267814,0.32674853176721835,0.9670623145400593,0.032937685459940656,89510.0,0.016025641025641024,0.3782051282051282,0.3301282051282051,0.10576923076923077,0.075932385
54,54,6097152905,9308.377,0.3564378645132346,0.6940331987438313,0.2415475775531544,0.9335094671950682,0.06649053280493175,86852.0,0.05970149253731343,0.5522388059701493,0.19734660033167495,0.0945273631840796,0.143678161
55,55,6097152600,171.1833,0.2774566473988439,0.8586889681465995,0.4915744680851064,0.9590062111801242,0.040993788819875775,119722.0,0.11961722488038277,0.23763955342902712,0.4800637958532695,0.08293460925039872,0.053657468
56,56,6097152701,521.246,0.2595753538717735,0.8345129059117402,0.31908912004498174,0.9715055833654216,0.02849441663457836,76341.0,0.0,0.22620904836193448,0.41029641185647425,0.34477379095163807,0.094265233
57,57,6097152702,667.1387,0.30344440284537627,0.6881317858479971,0.3028755710830422,0.9794851166532582,0.020514883346741754,85321.0,0.08,0.3148717948717949,0.3958974358974359,0.15897435897435896,0.141282565
58,58,6097152801,2305.387,0.3295184625350896,0.6167134528179659,0.19001610305958133,0.943205574912892,0.05679442508710801,109167.0,0.0,0.24213075060532688,0.3171912832929782,0.36803874092009686,0.087126138
59,59,6097152802,9541.888,0.3336858804865151,0.5153358011634056,0.1363095238095238,0.9532149111833875,0.04678508881661246,50691.0,0.1724137931034483,0.4447776111944028,0.24187906046976512,0.11894052973513243,0.136233073
60,60,6097152903,8513.049,0.3779154518950437,0.5470116618075802,0.1411833626244874,0.9475524475524476,0.05244755244755245,70136.0,0.2133492252681764,0.1799761620977354,0.38617401668653156,0.13706793802145412,0.095898325
61,61,6097152906,549.5194,0.2681133428981349,0.8782281205164992,0.3227150208282284,0.9808452417148069,0.019154758285193068,108365.0,0.021238938053097345,0.2672566371681416,0.44424778761061945,0.17345132743362832,0.062533839
62,62,6097153001,7387.954,0.32908912830558273,0.711627256191409,0.210844629822732,0.9161589081160126,0.08384109188398732,54106.0,0.22734415924567836,0.31901519119958094,0.35463593504452595,0.0749083289680461,0.141778523
63,63,6097153002,7921.151,0.3462995337995338,0.4969405594405594,0.24292400267439268,0.9596693386773547,0.04033066132264529,81911.0,0.0,0.3890020366598778,0.2769857433808554,0.14765784114052954,0.088607595
64,64,6097153003,8496.875,0.2991709296172164,0.582818839301464,0.20941354140448024,0.9512355848434926,0.04876441515650742,65701.0,0.049493813273340834,0.4769403824521935,0.33183352080989875,0.12710911136107986,0.150013323
65,65,6097153005,753.479,0.27195781878729014,0.7324823088663799,0.33600152468076994,0.9546457465064967,0.04535425349350331,104951.0,0.0,0.28040540540540543,0.23648648648648649,0.31925675675675674,0.041712404
66,66,6097153006,6232.897,0.30198804732284423,0.6688620563483352,0.24235540800279573,0.9666666666666667,0.03333333333333333,69722.0,0.045771144278606964,0.2975124378109453,0.373134328358209,0.1781094527363184,0.071356173
67,67,6097153102,12474.63,0.3785140562248996,0.3816934404283802,0.12089391491653204,0.9409051599884694,0.0590948400115307,81189.0,0.059202059202059204,0.23809523809523808,0.36164736164736166,0.2728442728442728,0.116756479
68,68,6097153103,7355.546,0.364765919680497,0.5380519192367429,0.134125043660496,0.9388665774207943,0.06113342257920571,60640.0,0.1689291101055807,0.363499245852187,0.3378582202111614,0.1191553544494721,0.105263158
69,69,6097153104,5976.495,0.35831856166118004,0.3993416054697392,0.14719810576164166,0.9586077140169332,0.041392285983066796,52132.0,0.06561360874848117,0.3888213851761847,0.38153098420413123,0.1166464155528554,0.149654643
70,70,6097153200,1701.288,0.37840758976822386,0.5368079740602858,0.16209428129829984,0.9431124673060157,0.056887532693984305,69280.0,0.044274809160305344,0.26717557251908397,0.3473282442748092,0.2435114503816794,0.102892102
71,71,6097153809,2779.599,0.30127620783956244,0.6925706472196901,0.25962165688193084,0.9812977099236642,0.01870229007633588,94735.0,0.017977528089887642,0.27415730337078653,0.6674157303370787,0.02247191011235955,0.071134407
72,72,6097153300,980.7054,0.2977795720629794,0.522486879289463,0.13981832815913534,0.9464941937380568,0.05350580626194326,79528.0,0.012474012474012475,0.2869022869022869,0.2972972972972973,0.20027720027720028,0.113229895
73,73,6097153401,1524.195,0.23599560646477327,0.8537580417385846,0.4460874922982132,0.9171548117154812,0.08284518828451883,85750.0,0.06255012028869286,0.48115477145148355,0.3536487570168404,0.048115477145148355,0.094848935
74,74,6097153403,1185.703,0.24373401534526853,0.8350383631713555,0.447074737910044,0.9674832962138085,0.032516703786191536,85778.0,0.0,0.4196078431372549,0.3431372549019608,0.19607843137254902,0.049424798
75,75,6097153404,1308.989,0.20880876312186217,0.9112277498858968,0.5252379578886646,0.9729139362166885,0.02708606378331149,92198.0,0.1367837338262477,0.42513863216266173,0.2532347504621072,0.18484288354898337,0.066343042
76,76,6097153501,272.953,0.18500830564784054,0.9283637873754153,0.42828025477707005,0.9580220562077553,0.04197794379224475,98598.0,0.0,0.47701149425287354,0.34674329501915707,0.08812260536398467,0.115215181
77,77,6097153502,158.9702,0.2372245663384904,0.9010782934833568,0.5995697602950215,0.9624691358024692,0.037530864197530864,94023.0,0.0,0.5427807486631016,0.25935828877005346,0.13636363636363635,0.071301248
78,78,6097153600,389.3883,0.19185953711093376,0.8785315243415802,0.4135887813549279,0.9658741258741259,0.034125874125874124,102647.0,0.0,0.37894736842105264,0.2646616541353383,0.14736842105263157,0.109662577
79,79,6097153703,122.0647,0.1853964632059327,0.9084426697090702,0.3560924369747899,0.8896269800715381,0.11037301992846194,59761.0,0.14862681744749595,0.4894991922455573,0.2633279483037157,0.03231017770597738,0.175238962
80,80,6097153704,177.3266,0.16261360845001227,0.915499877180054,0.35758286887650337,0.968568665377176,0.031431334622823985,60901.0,0.1951219512195122,0.35686777920410784,0.3504492939666239,0.08729139922978177,0.106634107
81,81,6097153705,221.3811,0.15548780487804878,0.8803353658536586,0.4052346570397112,0.9396939693969397,0.06030603060306031,69081.0,0.04477611940298507,0.416044776119403,0.34701492537313433,0.11007462686567164,0.110431948
82,82,6097153706,278.2719,0.21486486486486486,0.8810810810810811,0.3709122203098107,0.9097337770382695,0.09026622296173045,64746.0,0.0,0.5732142857142857,0.1767857142857143,0.17857142857142858,0.106446777
83,83,6097153801,718.1752,0.35067718990548574,0.7501705154438273,0.28391356542617047,0.9565217391304348,0.043478260869565216,117070.0,0.0,0.3233665559246955,0.3554817275747508,0.14950166112956811,0.09815013
84,84,6097153804,7352.825,0.3571024335031126,0.6983588002263724,0.261443661971831,0.9862433862433863,0.013756613756613757,120605.0,0.171875,0.036458333333333336,0.4635416666666667,0.265625,0.08097561
85,85,6097153806,4947.936,0.28236744759556104,0.8202836004932182,0.3449312714776632,0.9554513481828839,0.044548651817116064,94018.0,0.15,0.29375,0.375,0.1625,0.071692145
86,86,6097153807,151.7784,0.2760913558832032,0.8143972246313964,0.521964856230032,0.9369994660971703,0.06300053390282968,123684.0,0.047619047619047616,0.2,0.580952380952381,0.10476190476190476,0.049054676
87,87,6097153808,3772.439,0.3018438424766674,0.6640109264739358,0.2526899250081513,0.9470098410295231,0.05299015897047691,72841.0,0.1956989247311828,0.43010752688172044,0.23655913978494625,0.043010752688172046,0.098276494
88,88,6097153901,194.8817,0.19754329440193313,0.7954087797019734,0.44592220828105394,0.9797775530839231,0.020222446916076844,83375.0,0.11510791366906475,0.29784172661870506,0.33237410071942447,0.05467625899280575,0.06356641
89,89,6097153902,3415.354,0.307125839289582,0.7387914230019493,0.3541731791184745,0.956421133821828,0.043578866178172,76250.0,0.05664488017429194,0.40522875816993464,0.3888888888888889,0.08823529411764706,0.089387464
90,90,6097153903,3109.713,0.2084623323013416,0.859391124871001,0.5104302477183833,0.9737689829728486,0.026231017027151405,105909.0,0.0,0.4304635761589404,0.31125827814569534,0.11479028697571744,0.093682853
91,91,6097154201,384.3694,0.32129325587269514,0.665572114170245,0.2355787123185709,0.956428187197418,0.04357181280258203,64309.0,0.20694645441389292,0.35311143270622286,0.3589001447178003,0.059334298118668596,0.142676768
92,92,6097154000,30.22042,0.1427475057559478,0.8376822716807367,0.508952551477171,0.9558333333333333,0.04416666666666667,96324.0,0.015444015444015444,0.42857142857142855,0.22007722007722008,0.28185328185328185,0.075443787
93,93,6097154100,16.27957,0.22063666300768386,0.7650933040614709,0.375,0.9694261523988711,0.03057384760112888,104792.0,0.003787878787878788,0.36742424242424243,0.2708333333333333,0.20265151515151514,0.068596882
94,94,6097154202,89.7085,0.271900826446281,0.8143801652892562,0.2960272417707151,0.9819639278557114,0.018036072144288578,72317.0,0.09193245778611632,0.34896810506566606,0.40337711069418386,0.06191369606003752,0.096480583
95,95,6097154302,72.2348,0.1652806652806653,0.8612266112266113,0.5466998754669987,0.9351607801792303,0.06483921982076964,80341.0,0.15625,0.3125,0.28348214285714285,0.22321428571428573,0.061728395
96,96,6097154303,29.58336,0.08049738219895287,0.9109947643979057,0.6362989323843417,0.9386973180076629,0.06130268199233716,78882.0,0.0392156862745098,0.43790849673202614,0.30718954248366015,0.1895424836601307,0.136518771
97,97,6097154304,7.155178,0.23625254582484725,0.8334012219959267,0.32,0.9445764053840063,0.055423594615993665,62153.0,0.0076726342710997444,0.28388746803069054,0.40153452685422,0.18925831202046037,0.117605132
98,98,6097150100,44.10905,0.20296465222348917,0.9068795134929685,0.4072484501669051,0.9670920080591001,0.03290799194089993,103393.0,0.08465608465608465,0.3201058201058201,0.36507936507936506,0.23015873015873015,0.010732323
